model_id_list,dev_alphabetical_id,dev_numerical_id
D13_Apple_iPad2,D13_V_flat_move_0001,11
D34_Apple_iPhone5,D34_V_outdoor_move_0003,32
D11_Samsung_GalaxyS3,D11_V_outdoor_still_0001,10
D08_Samsung_GalaxyTab3,D08_V_indoor_still_0004,7
D31_Samsung_GalaxyS4Mini,D31_V_flat_still_0002,29
D14_Apple_iPhone5c,D14_V_indoor_move_0001,12
D13_Apple_iPad2,D13_V_indoor_panrot_0001,11
D16_Huawei_P9Lite,D16_V_indoor_move_0002,14
D22_Samsung_GalaxyTrendPlus,D22_V_outdoor_move_0001,20
D06_Apple_iPhone6,D06_V_outdoor_panrot_0002,5
D07_Lenovo_P70A,D07_V_outdoor_move_0002,6
D14_Apple_iPhone5c,D14_V_outdoor_move_0002,12
D26_Samsung_GalaxyS3Mini,D26_V_outdoor_panrot_0001,24
D28_Huawei_P8,D28_V_outdoor_still_0002,26
D10_Apple_iPhone4s,D10_V_indoor_panrot_0001,9
D09_Apple_iPhone4,D09_V_indoor_still_0001,8
D10_Apple_iPhone4s,D10_V_indoor_still_0001,9
D25_OnePlus_A3000,D25_V_outdoor_panrot_0002,23
D25_OnePlus_A3000,D25_V_flat_panrot_0001,23
D28_Huawei_P8,D28_V_outdoor_move_0002,26
D08_Samsung_GalaxyTab3,D08_V_indoor_move_0001,7
D26_Samsung_GalaxyS3Mini,D26_V_flat_panrot_0001,24
D35_Samsung_GalaxyTabA,D35_V_flat_panrot_0001,33
D30_Huawei_Honor5c,D30_V_outdoor_panrot_0002,28
D27_Samsung_GalaxyS5,D27_V_outdoor_move_0001,25
D26_Samsung_GalaxyS3Mini,D26_V_indoor_panrot_0002,24
D34_Apple_iPhone5,D34_V_indoor_move_0001,32
D08_Samsung_GalaxyTab3,D08_V_flat_panrot_0001,7
D06_Apple_iPhone6,D06_V_indoor_panrot_0001,5
D23_Asus_Zenfone2Laser,D23_V_indoor_move_0002,21
D04_LG_D290,D04_V_outdoor_move_0001,3
D05_Apple_iPhone5c,D05_V_outdoor_still_0001,4
D03_Huawei_P9,D03_V_indoor_still_0002,2
D02_Apple_iPhone4s,D02_V_outdoor_move_0001,1
D24_Xiaomi_RedmiNote3,D24_V_outdoor_move_0001,22
D07_Lenovo_P70A,D07_V_flat_move_0003,6
D22_Samsung_GalaxyTrendPlus,D22_V_outdoor_still_0002,20
D24_Xiaomi_RedmiNote3,D24_V_flat_still_0001,22
D15_Apple_iPhone6,D15_V_indoor_panrot_0002,13
D18_Apple_iPhone5c,D18_V_flat_still_0001,16
D11_Samsung_GalaxyS3,D11_V_flat_panrot_0002,10
D20_Apple_iPadMini,D20_V_indoor_move_0001,18
D09_Apple_iPhone4,D09_V_outdoor_panrot_0001,8
D31_Samsung_GalaxyS4Mini,D31_V_indoor_still_0001,29
D35_Samsung_GalaxyTabA,D35_V_flat_move_0002,33
D19_Apple_iPhone6Plus,D19_V_outdoor_panrot_0002,17
D25_OnePlus_A3000,D25_V_flat_move_0002,23
D35_Samsung_GalaxyTabA,D35_V_indoor_move_0002,33
D29_Apple_iPhone5,D29_V_indoor_move_0002,27
D13_Apple_iPad2,D13_V_outdoor_move_0002,11
D04_LG_D290,D04_V_indoor_move_0002,3
D32_OnePlus_A3003,D32_V_outdoor_panrot_0002,30
D16_Huawei_P9Lite,D16_V_flat_panrot_0001,14
D02_Apple_iPhone4s,D02_V_outdoor_still_0001,1
D14_Apple_iPhone5c,D14_V_indoor_panrot_0002,12
D29_Apple_iPhone5,D29_V_flat_move_0001,27
D01_Samsung_GalaxyS3Mini,D01_V_outdoor_panrot_0001,0
D23_Asus_Zenfone2Laser,D23_V_indoor_move_0001,21
D29_Apple_iPhone5,D29_V_outdoor_move_0001,27
D34_Apple_iPhone5,D34_V_indoor_still_0003,32
D18_Apple_iPhone5c,D18_V_flat_still_0002,16
D03_Huawei_P9,D03_V_outdoor_still_0002,2
D30_Huawei_Honor5c,D30_V_flat_move_0003,28
D33_Huawei_Ascend,D33_V_flat_move_0002,31
D01_Samsung_GalaxyS3Mini,D01_V_outdoor_move_0003,0
D01_Samsung_GalaxyS3Mini,D01_V_outdoor_panrot_0004,0
D08_Samsung_GalaxyTab3,D08_V_outdoor_move_0002,7
D24_Xiaomi_RedmiNote3,D24_V_flat_panrot_0002,22
D15_Apple_iPhone6,D15_V_indoor_panrot_0001,13
D33_Huawei_Ascend,D33_V_indoor_still_0001,31
D22_Samsung_GalaxyTrendPlus,D22_V_indoor_still_0002,20
D06_Apple_iPhone6,D06_V_flat_move_0002,5
D20_Apple_iPadMini,D20_V_flat_move_0001,18
D11_Samsung_GalaxyS3,D11_V_indoor_still_0002,10
D20_Apple_iPadMini,D20_V_indoor_still_0001,18
D16_Huawei_P9Lite,D16_V_flat_panrot_0002,14
D32_OnePlus_A3003,D32_V_indoor_move_0001,30
D07_Lenovo_P70A,D07_V_indoor_move_0002,6
D05_Apple_iPhone5c,D05_V_indoor_panrot_0002,4
D31_Samsung_GalaxyS4Mini,D31_V_indoor_move_0001,29
D27_Samsung_GalaxyS5,D27_V_outdoor_panrot_0002,25
D19_Apple_iPhone6Plus,D19_V_flat_move_0003,17
D08_Samsung_GalaxyTab3,D08_V_indoor_panrot_0001,7
D34_Apple_iPhone5,D34_V_flat_move_0005,32
D15_Apple_iPhone6,D15_V_flat_still_0002,13
D03_Huawei_P9,D03_V_outdoor_move_0002,2
D32_OnePlus_A3003,D32_V_outdoor_panrot_0001,30
D30_Huawei_Honor5c,D30_V_outdoor_panrot_0001,28
D08_Samsung_GalaxyTab3,D08_V_flat_still_0001,7
D27_Samsung_GalaxyS5,D27_V_indoor_panrot_0001,25
D23_Asus_Zenfone2Laser,D23_V_flat_still_0001,21
D34_Apple_iPhone5,D34_V_flat_move_0001,32
D05_Apple_iPhone5c,D05_V_flat_still_0001,4
D19_Apple_iPhone6Plus,D19_V_outdoor_still_0001,17
D17_Microsoft_Lumia640LTE,D17_V_outdoor_move_0001,15
D28_Huawei_P8,D28_V_outdoor_panrot_0001,26
D21_Wiko_Ridge4G,D21_V_outdoor_still_0001,19
D04_LG_D290,D04_V_flat_move_0001,3
D33_Huawei_Ascend,D33_V_indoor_still_0002,31
D21_Wiko_Ridge4G,D21_V_indoor_panrot_0001,19
D09_Apple_iPhone4,D09_V_indoor_still_0002,8
